지점명,주소,브랜드,주소1,주소2,주소3
수원인계DT점,경기도 수원시 팔달구 경수대로 501,버거킹,경기도,수원시,팔달구 경수대로 501
수원역사점,경기도 수원시 팔달구 덕영대로 924,버거킹,경기도,수원시,팔달구 덕영대로 924
수원시청점,경기도 수원시 팔달구 권광로 163,버거킹,경기도,수원시,팔달구 권광로 163
배곧아브뉴프랑점,경기도 시흥시 서울대학로 264번길 35,버거킹,경기도,시흥시,서울대학로 264번길 35
시흥정왕점,경기도 시흥시 정왕동 1738-2,버거킹,경기도,시흥시,정왕동 1738-2
시흥목감SK점,경기도 시흥시 동서로 996,버거킹,경기도,시흥시,동서로 996
시흥은계점,경기도 시흥시 은계번영길 9,버거킹,경기도,시흥시,은계번영길 9
안산제이DT점,경기도 안산시 단원구 선부광장로 33,버거킹,경기도,안산시,단원구 선부광장로 33
안산고잔점,경기도 안산시 단원구 광덕대로 154,버거킹,경기도,안산시,단원구 광덕대로 154
안산중앙역점,경기도 안산시 단원구 중앙대로 927,버거킹,경기도,안산시,단원구 중앙대로 927
상록수역점,경기도 안산시 상록구 용신로 394,버거킹,경기도,안산시,상록구 용신로 394
안성공도DT점,경기도 안성시 공도읍 서동대로 4294,버거킹,경기도,안성시,공도읍 서동대로 4294
평촌학원가점,경기도 안양시 동안구 평촌대로 112,버거킹,경기도,안양시,동안구 평촌대로 112
평촌금성GS점,경기도 안양시 동안구 시민대로 325,버거킹,경기도,안양시,동안구 시민대로 325
안양관양점,경기도 안양시 동안구 관악대로 312,버거킹,경기도,안양시,동안구 관악대로 312
양주덕정FS점,경기도 양주시 독바위로 24,버거킹,경기도,양주시,독바위로 24
양주고읍DT점,경기도 양주시 고덕로 363,버거킹,경기도,양주시,고덕로 363
경기양평점,경기도 양평군 양평읍 양평시장길 18번길 1,버거킹,경기도,양평군,양평읍 양평시장길 18번길 1
오산원동FS점,경기도 오산시 경기대로 238,버거킹,경기도,오산시,경기대로 238
오산세교에스오일점,경기도 오산시 경기대로 692,버거킹,경기도,오산시,경기대로 692
오산궐동점,경기도 오산시 궐동 궐리사로 61,버거킹,경기도,오산시,궐동 궐리사로 61
용인신갈점,경기도 용인시 기흥구 중부대로 375,버거킹,경기도,용인시,기흥구 중부대로 375
용인동백점,경기도 용인시 기흥구 동백5로 23,버거킹,경기도,용인시,기흥구 동백5로 23
죽전DT점,경기도 용인시 수지구 용구대로 2751,버거킹,경기도,용인시,수지구 용구대로 2751
수지GS점,경기도 용인시 수지구 신수로 781,버거킹,경기도,용인시,수지구 신수로 781
수지구청역점,경기도 용인시 수지구 풍덕천로 145,버거킹,경기도,용인시,수지구 풍덕천로 145
