버거킹,KFC,맥도날드,롯데리아,BKM,버거지수,주소,주소1,주소2,인구수,면적,인구밀도
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 완도군,전라남도,완도군,50689,396.761181,127.75695412601365
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 장성군,전라남도,장성군,45739,518.401901,88.23077213214155
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 장흥군,전라남도,장흥군,38563,622.342074,61.964314500131316
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 진도군,전라남도,진도군,30715,440.100025,69.79095263627853
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 함평군,전라남도,함평군,32861,392.103012,83.80705833496633
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 해남군,전라남도,해남군,70354,1031.306018,68.21835495194405
0.0,0.0,0.0,1.0,0.0,0.0,전라남도 화순군,전라남도,화순군,62737,787.011713,79.71545907602014
0.0,0.0,0.0,1.0,0.0,0.0,전라북도 고창군,전라북도,고창군,55504,607.484716,91.36690773961793
0.0,0.0,0.0,1.0,0.0,0.0,전라북도 김제시,전라북도,김제시,83895,545.864268,153.69205298486398
0.0,0.0,0.0,2.0,0.0,0.0,전라북도 남원시,전라북도,남원시,81441,752.191724,108.27159805337077
0.0,0.0,0.0,2.0,0.0,0.0,전라북도 무주군,전라북도,무주군,24303,631.755526,38.46899472945805
0.0,0.0,0.0,1.0,0.0,0.0,전라북도 부안군,전라북도,부안군,53295,493.176247,108.06481521402226
0.0,0.0,0.0,1.0,0.0,0.0,전라북도 순창군,전라북도,순창군,28382,495.794067,57.24554182694566
0.0,0.0,0.0,2.0,0.0,0.0,전라북도 완주군,전라북도,완주군,92220,821.055309,112.31886450173359
0.0,0.0,0.0,1.0,0.0,0.0,전라북도 임실군,전라북도,임실군,28902,597.222769,48.39400220523073
0.0,0.0,0.0,1.0,0.0,0.0,전라북도 장수군,전라북도,장수군,22441,533.202165,42.08722595865679
0.0,0.0,0.0,1.0,0.0,0.0,전라북도 진안군,전라북도,진안군,25697,789.09174,32.565288289546665
0.0,0.0,0.0,1.0,0.0,0.0,충청남도 계룡시,충청남도,계룡시,42971,60.698855,707.9375714747831
