지점명,주소,주소1,주소2,주소3
당진신평,충청남도 당진군 신평면 거산리 15-6,충청남도,당진군,신평면 거산리 15-6
모슬포,제주특별자치도 서귀포시 대정읍 하모리 2143-3,제주특별자치도,서귀포시,대정읍 하모리 2143-3
일산웨스턴돔,경기도 고양시 일산동구 장항동 855,경기도,고양시,일산동구 장항동 855
전주하가D/I,전라북도 전주시 덕진구 덕진동2가 392-7,전라북도,전주시,덕진구 덕진동2가 392-7
인천공항1층,인천광역시 중구 운서동 2851,인천광역시,중구,운서동 2851
홈서비스부암(부산역),부산광역시 부산진구 부암동 722-3번지,부산광역시,부산진구,부암동 722-3번지
광주선운,광주광역시 광산구 선암동 569,광주광역시,광산구,선암동 569
아산용화,충청남도 아산시 용화동 1405,충청남도,아산시,용화동 1405
고양원흥,경기도 고양시 덕양구 도내동 957,경기도,고양시,덕양구 도내동 957
외대역,서울특별시 동대문구 휘경로 5-1,서울특별시,동대문구,휘경로 5-1
서울대입구역,서울특별시 관악구 봉천동 863-1,서울특별시,관악구,봉천동 863-1
롯데이천아울렛,경기도 이천시 호법면 단천리 산51-7,경기도,이천시,호법면 단천리 산51-7
강릉주문진,강원도 강릉시 주문진읍 주문리 323-6,강원도,강릉시,주문진읍 주문리 323-6
성남도촌,경기도 성남시 중원구 도촌동 604,경기도,성남시,중원구 도촌동 604
아산신창,충청남도 아산시 배미동 240 1층,충청남도,아산시,배미동 240 1층
대전월평,대전광역시 서구 월평동 912 1층,대전광역시,서구,월평동 912 1층
서동탄역,경기도 화성시 능동 1154-8,경기도,화성시,능동 1154-8
화성화산D/T,경기도 화성시 안녕동 37-89,경기도,화성시,안녕동 37-89
여주가남,경기도 여주군 가남면 태평리 110-7,경기도,여주군,가남면 태평리 110-7
진주초전D/I,경상남도 진주시 대신로 474,경상남도,진주시,대신로 474
홈서비스과천,경기도 과천시 별양동 19-4,경기도,과천시,별양동 19-4
청주지웰,충청북도 청주시 흥덕구 복대동 288-115 1층,충청북도,청주시,흥덕구 복대동 288-115 1층
제주외도D/T,제주특별자치도 제주시 외도2동 343-9,제주특별자치도,제주시,외도2동 343-9
대구역사,대구광역시 북구 칠성동2가 302-155,대구광역시,북구,칠성동2가 302-155
서울대,서울특별시 관악구 대학동 산 56-1 서울대학교 內,서울특별시,관악구,대학동 산 56-1 서울대학교 內
충남광천,충청남도 홍성군 광천읍 189-2 1층,충청남도,홍성군,광천읍 189-2 1층
천안통정,충청남도 천안시 동남구 신방동 1534,충청남도,천안시,동남구 신방동 1534
안동용상D/T,경상북도 안동시 용상동 1076-3 SK에너지 주유소 內,경상북도,안동시,용상동 1076-3 SK에너지 주유소 內
롯데아울렛동부산1층,부산광역시 기장군 기장해안로147 동부산롯데아울렛 A130,부산광역시,기장군,기장해안로147 동부산롯데아울렛 A130
롯데아울렛광명,경기도 광명시 일직동 500 롯데아울렛광명점 5층내,경기도,광명시,일직동 500 롯데아울렛광명점 5층내
나주혁신,전라남도 나주시금천면 빛가람로 189-1,전라남도,나주시금천면,빛가람로 189-1
센텀프라자빌딩,부산광역시 해운대구 우동 1078-1,부산광역시,해운대구,우동 1078-1
경북봉화,경상북도 봉화군 봉화읍 내성리 394-18,경상북도,봉화군,봉화읍 내성리 394-18
청주율량2지구,충청북도 청주시 청원구 충청대로 174번길(주성동 343번지),충청북도,청주시,청원구 충청대로 174번길(주성동 343번지)
광주농성D/T,광주광역시 서구 죽봉대로 21-1,광주광역시,서구,죽봉대로 21-1
대구월드컵대로,대구광역시 수성구 유니버시아드로 338(욱수동 121),대구광역시,수성구,유니버시아드로 338(욱수동 121)
경남하동,경상남도 하동군 하동읍 읍내리 233-22,경상남도,하동군,하동읍 읍내리 233-22
홈플러스세종,세종특별자치시 금남면 세종로 세종특별자치시 어진동 307-3,세종특별자치시,금남면,세종로 세종특별자치시 어진동 307-3
세종첫마을,세종특별자치시 연기면 나성길 세종특별자치시 나성동 540번지,세종특별자치시,연기면,나성길 세종특별자치시 나성동 540번지
원주반곡,강원도 원주시 반곡동 1878-8,강원도,원주시,반곡동 1878-8
광주오포,경기도 광주시 오포읍 양벌리 375-1,경기도,광주시,오포읍 양벌리 375-1
광주능평,경기도 광주시 오포읍 능평리 437-9,경기도,광주시,오포읍 능평리 437-9
양평용문,경기도 양평군 용문면 다문리 327-2,경기도,양평군,용문면 다문리 327-2
오목천D/T,경기도 수원시 권선구 오목천동 316-1,경기도,수원시,권선구 오목천동 316-1
대전용운,대전광역시 동구 용운동 307-11,대전광역시,동구,용운동 307-11
제주아라,제주특별자치도 제주시 아라1동 6105,제주특별자치도,제주시,아라1동 6105
부산대청,부산광역시 중구 대청동3가 14-1,부산광역시,중구,대청동3가 14-1
청평D/T,경기도 가평군 청평면 청평리 312-9,경기도,가평군,청평면 청평리 312-9
보문역,서울특별시 성북구 보문동5가 3-1,서울특별시,성북구,보문동5가 3-1
천왕역,서울특별시 구로구 오류동 306-4,서울특별시,구로구,오류동 306-4
신호매실,경기도 수원시 권선구 호매실동 호매실로104번길 24-61,경기도,수원시,권선구 호매실동 호매실로104번길 24-61
메가마트기장,부산광역시 기장군 일광면 삼성리 기장대로 673,부산광역시,기장군,일광면 삼성리 기장대로 673
명덕네거리,대구광역시 중구 남산동 2110-8,대구광역시,중구,남산동 2110-8
경북고령,경상북도 고령군 고령읍 쾌빈리 왕륭로 116,경상북도,고령군,고령읍 쾌빈리 왕륭로 116
부산망미,부산광역시 수영구 연수로 278,부산광역시,수영구,연수로 278
창원동읍,경상남도 창원시 의창구 동읍 용잠리 364-1,경상남도,창원시,의창구 동읍 용잠리 364-1
강릉포남,강원도 강릉시 포남동 1291-5,강원도,강릉시,포남동 1291-5
전남고흥,전라남도 고흥군고흥읍 여산당촌길 8,전라남도,고흥군고흥읍,여산당촌길 8
수원탑동,경기도 수원시 권선구 757-1,경기도,수원시,권선구 757-1
인천영종하늘도시,인천광역시 중구 하늘중앙로195번길 하늘중앙로 195번길 14,인천광역시,중구,하늘중앙로195번길 하늘중앙로 195번길 14
부산물만골역,부산광역시 연제구 월드컵대로 12,부산광역시,연제구,월드컵대로 12
망원,서울특별시 마포구 월드컵로 85,서울특별시,마포구,월드컵로 85
마산진동,경상남도 창원시 마산합포구 진동면 진동리 850-1,경상남도,창원시,마산합포구 진동면 진동리 850-1
거제수월,경상남도 거제시 수월동 1120-11,경상남도,거제시,수월동 1120-11
구미공단,경상북도 구미시 1공단로 212,경상북도,구미시,1공단로 212
대구진천역,대구광역시 달서구 월배로 89,대구광역시,달서구,월배로 89
평택비전,경기도 평택시 비전동 1012 J타워 1층,경기도,평택시,비전동 1012 J타워 1층
부산학장,부산광역시 사상구 학장동 574-100,부산광역시,사상구,학장동 574-100
전남장성,전라남도 장성군장성읍 영천로 166,전라남도,장성군장성읍,영천로 166
전주혁신,전라북도 전주시 완산구 안전로 154 104호,전라북도,전주시,완산구 안전로 154 104호
